day_range,info,market_segment,name,previous_close,stock_Value,time,volume
$20.71 - $20.94,"SoftBank Group Corp. is a Japanese multinational investment holding company headquartered in Minato, Tokyo which focuses on investment management. The group primarily invests in companies operating in technology that offer goods and services to customers in a multitude of markets and industries ranging from the internet to automation. With over $100 billion in capital at its onset, SoftBank's Vision Fund is the world's largest technology-focused venture capital fund. Fund investors included sovereign wealth funds from countries in the Middle East. The company is known for the leadership of its controversial founder and largest shareholder Masayoshi Son. Its investee companies, subsidiaries and divisions, including several unprofitable unicorns, operate in robotics, artificial intelligence, software, logistics, transportation, biotechnology, robotic process automation, proptech, real estate, hospitality, broadband, fixed-line telecommunications, e-commerce, information technology, finance, media and marketing, and other areas. Among its most internationally recognizable current stockholdings are stakes in Arm, Alibaba, OYO Rooms, WeWork and Deutsche Telekom.",208.19K,SoftBank Group Corp - ADR,$21.00,$20.78,"Nov 24, 9:30:20 AM GMT-5 · USD · OTCMKTS ·",$17.95 - $26.05
฿14.60 - ฿14.90,"Bangkok Airways Public Company Limited is a regional airline based in Bangkok, Thailand. It operates scheduled services to destinations in Thailand, Cambodia, Hong Kong, Laos, Maldives, Myanmar, Singapore, and Vietnam. Its main base is Suvarnabhumi Airport.",5.29M,Bangkok Airways PCL,฿15.20,฿14.80,"Nov 24, 5:12:00 PM GMT+7 · THB · BKK ·",฿11.80 - ฿17.60
Rp 105.00 - Rp 110.00,"PT Bumi Resources Tbk is one of the largest mining companies in Indonesia structured as a holding company. In the 2012 Forbes Global 2000, Bumi Resources was ranked as the 1898th-largest public company in the world. It is reputedly the biggest thermal coal producer in Indonesia and is majority owned by the Bakrie Group.",2.93,Bumi Resources Tbk PT,Rp 109.00,Rp 107.00,"Nov 24, 4:40:00 PM GMT+7 · IDR · IDX ·",Rp 90.00 - Rp 198.00
"¥1,381.50 - ¥1,413.00","J. Front Retailing Co., Ltd. is a major holding company in Japan, headquartered in Yaesu, Chūō, Tokyo. It was established with a capitalization of 30 billion yen on September 3, 2007. It holds 100% of the stock in Daimaru Matsuzakaya Department Stores, which operates the department-store chains Daimaru and Matsuzakaya. It is traded on the Tokyo, Osaka, and Nagoya Stock Exchanges. J. Front's registered headquarters are in the Matsuzakaya Ginza store.",21.37,J.Front Retailing Co Ltd,"¥1,400.00","¥1,382.50","Nov 24, 5:45:12 PM GMT+9 · JPY · TYO ·","¥1,081.00 - ¥1,634.50"
"¥3,680.00 - ¥3,770.00","Kura Sushi is a Japanese sushi restaurant chain. It is the second largest sushi restaurant chain in Japan, behind Sushiro and ahead of Hama Sushi. Its headquarters are in Sakai, Osaka Prefecture. It has 451 locations in Japan, 22 in Taiwan, and 47 in the United States. While it is a conveyor belt sushi chain, it relies on a high level of automation allowing the average location to function with fifteen to twenty staff members. At Kura Sushi's locations, each of them own a robot known as ""KuraB the Kurabot"", who delivers things such as food and beverages, however sometimes employees will simply supply the beverages themselves.",-,Kura Sushi Inc,"¥3,665.00","¥3,740.00","Nov 24, 5:45:12 PM GMT+9 · JPY · TYO ·","¥2,913.00 - ¥3,770.00"
$0.22 - $0.22,Yield10 Bioscience is a company developing new technologies to achieve improvements in crop yield to enhance global food security.,205.41K,Yield10 Bioscience Inc,$0.22,$0.22,"Nov 24, 9:36:55 AM GMT-5 · USD · NASDAQ ·",$0.21 - $4.19
$6.19 - $6.30,"Amplify Energy Corp is an oil company based in Houston, Texas. It trades as NYSE: AMPY and has 230 employees.",416.61K,Amplify Energy Corp,$6.23,$6.29,"Nov 24, 9:49:03 AM GMT-5 · USD · NYSE ·",$5.84 - $10.23
"₩7,610.00 - ₩7,890.00","Samsung Heavy Industries Co., Ltd. is one of the largest shipbuilders in the world and one of the ""Big Three"" shipbuilders of South Korea. Geoje is one of the largest shipyards in the world, having 3 dry docks and 5 floating docks. A core subsidiary of the Samsung Group, South Korea's largest conglomerate, SHI's main focus is on the engineering, procurement, construction, commissioning and the delivery of: transportation ships for the commercial industry, topsides modules, drilling and floating production units for the oil and gas sector, gantry cranes for fabrication yards, digital instrumentation and control devices for ships, and other construction and engineering services. SHI operates manufacturing facilities at home and abroad, including ship block fabrication factories in Ningbo and Rongcheng, China. The Geoje Shipyard in particular, SHI's largest shipyard in South Korea, boasts the highest dock turnover rate in the world. The largest of the three docks, Dock No. 3, is 640 metres long, 97.5 metres wide, and 13 metres deep.",3.92M,Samsung Heavy Industries Co Ltd,"₩7,890.00","₩7,630.00","Nov 24, 6:26:10 PM GMT+9 · KRW · KRX ·","₩4,790.00 - ₩9,470.00"
€78.45 - €79.40,"Sony Group Corporation, formerly known as Tokyo Tsushin Kogyo K.K. and Sony Corporation, is a Japanese multinational conglomerate corporation headquartered in Minato, Tokyo, Japan. The Sony Group comprises entities such as Sony Corporation, Sony Semiconductor Solutions, Sony Entertainment, Sony Interactive Entertainment, Sony Financial Group, and others. Sony was established in 1946 as Tokyo Tsushin Kogyo by Masaru Ibuka and Akio Morita. This electronics company, known for creating products such as the transistor radio TR-55, the home video tape recorder CV-2000, the portable audio player Walkman, and the compact disc player CDP-101, embarked on diverse business ventures. In 1988, Sony acquired CBS Records, and in 1992, it acquired Columbia Pictures. The company also introduced the home video game console PlayStation. In Japan, Sony expanded into the financial sector. In 2021, Sony transformed into a holding company, handing over the name Sony Corporation to its subsidiary electronics company.",-,Sony Group Corp,€80.90,€79.40,"Nov 24, 3:31:21 PM GMT+1 · EUR · FRA ·",€70.22 - €93.80
$15.60 - $15.77,"Orica Limited is an Australian-based multinational corporation that is one of the world's largest providers of commercial explosives and blasting systems to the mining, quarrying, oil and gas, and construction markets, a supplier of sodium cyanide for gold extraction, and a specialist provider of ground support services in mining and tunnelling. Orica has a workforce of around 15,000 employees and contractors, servicing customers across more than 100 countries. Orica is listed on the Australian Securities Exchange. It has in recent years been subject to a number of high-profile industrial accidents and fatalities.",971.86K,Orica Ltd,$15.70,$15.60,"Nov 24, 7:00:00 PM GMT+11 · AUD · ASX ·",$13.81 - $17.07
€31.80 - €32.75,"JinkoSolar Holding Co., Ltd. is a solar panel manufacturer headquartered in Shanghai, China. The company started out as a wafer manufacturer in 2006 and went public on the New York Stock Exchange in 2010. JinkoSolar distributes its solar products and sells to a utility, commercial and residential customers in multiple countries. JinkoSolar is a member of the Silicon Module Super League. The four other original members of the group are Canadian Solar, Hanwha Q CELLS, JA Solar, and Trina Solar. In 2021, the U.S. Customs and Border Protection began blocking the import of JinkoSolar products into the United States due to concerns about the use of forced Uyghur labor. In May 2023, agents from the United States Department of Homeland Security and Federal Bureau of Investigation raided JinkoSolar's offices in Jacksonville, Florida.",-,"JinkoSolar Holding Co., Ltd",€33.00,€31.80,"Nov 24, 3:34:31 PM GMT+1 · EUR · FRA ·",€24.00 - €56.55
$54.23 - $54.72,"Magna International Inc. is a Canadian parts manufacturer for automakers. It is one of the largest companies in Canada and was recognized on the 2020 Forbes Global 2000. The company is the largest automobile parts manufacturer in North America by sales of original equipment parts; it has ranked consistently in the Fortune Global 500 list for 20 years in a row since 2001. It produces automotive systems, assemblies, modules, and components, which are supplied to General Motors, Ford and Stellantis, as well as BMW, Mercedes, Volkswagen, Toyota, Tesla, and Tata Motors, among others. The company is headquartered in Aurora, Ontario, and its chief executive officer is Swamy Kotagiri. It has 158,000 employees in 342 manufacturing operations and 91 product development, engineering and sales centres in 27 countries. Magna is governed under a corporate constitution which calls for distribution of profits to employees and shareholders. The terms of this contract are a ""fair enterprise system"" according to company founder Frank Stronach.",1.34M,Magna International Inc,$54.35,$54.42,"Nov 24, 9:48:52 AM GMT-5 · USD · NYSE ·",$46.71 - $68.92
GBX 117.95 - GBX 123.50,"Begbies Traynor is a firm specialising in corporate restructuring. They were formed in 1989, expanded through mergers and organic growth and were floated in 2004. The company employs over 700 people and has over 100 offices around the United Kingdom.",139.14K,Begbies Traynor Group plc,GBX 120.00,GBX 119.58,"Nov 24, 2:33:17 PM UTC · GBX · LON ·",GBX 105.50 - GBX 150.69
"¥4,015.00 - ¥4,042.00","Dai Nippon Printing, established in 1876, is a Japanese printing company which operates its printing in three areas: information communications, lifestyle and industrial supplies, and electronics. The company is involved in a wide variety of printing processes, ranging from magazines to shadow masks for the production of displays, as well as out-coupling enhancement structures for LCD displays and scattering for display backlights. They employ more than 35,000 people. Dai Nippon also operates Honto.jp, an online ""hybrid"" bookstore that sells both print and digital books.",7.85,Dai Nippon Printing Co Ltd,"¥3,982.00","¥4,035.00","Nov 24, 5:45:15 PM GMT+9 · JPY · TYO ·","¥2,497.00 - ¥4,160.00"
"$1,562.15 - $1,650.00","Telecom Argentina S.A. is the major local telephone company for the northern part of Argentina, including the whole of the city of Buenos Aires. Briefly known as Sociedad Licenciataria Norte S.A., it quickly changed its name, and is usually known as simply ""Telecom"" within Argentina. Together with Telefónica de Argentina in the southern part of the country, was part of the national fixed telephone market duopoly, until 8 October 1999. Telecom also operates the mobile phone service Personal, the cable modem service Arnet-Fibertel and the cable operator Cablevisión, now under the brand ""Flow"".",135.88K,TELECOM ARGENTINA SA-SP Common Stock,"$1,637.95","$1,580.05","Nov 24, 11:29:36 AM GMT-3 · ARS · BCBA ·","$273.00 - $1,650.00"
$33.92 - $34.34,"Ampol Limited is an Australian petroleum company headquartered in Sydney, New South Wales. Ampol is the largest transport energy distributor and retailer in Australia, with more than 1,900 Ampol-branded stations across the country as of October 2022. Ampol also operates in New Zealand through its subsidiary Z Energy. Ampol was first incorporated in 1936 and would later be owned by what is now Hanson Australia. The Caltex brand in Australia separately began in 1941 to market petrol in its chain of service stations and was owned by Caltex Australia Limited. In 1995, the Ampol and Caltex operations merged to form Australian Petroleum, equally owned by Pioneer and Caltex Australia. Pioneer sold its shareholding between 1997 and 1998, and Caltex Australia gained full ownership of Australian Petroleum. Caltex Australia then gradually replaced the Ampol brand with Caltex over the next decade. From 2001 until 2015, Caltex Australia was owned equally by American petroleum company Chevron Corporation and the Australian public until Chevron sold its shareholding to the public.",679.03K,Ampol Ltd,$33.89,$34.10,"Nov 24, 7:00:00 PM GMT+11 · AUD · ASX ·",$26.50 - $35.46
"¥4,095.00 - ¥4,162.00","Keio Corporation is a private railway operator in Tokyo, Japan, and the central firm of the Keio Group that is involved in transport, retail, real estate and other industries. The name ""Keio"" is derived from taking one character each from the places through which the railway runs: ""Tōkyō"" and ""Hachiōji"". The Keio railway network connects the western suburbs of Tokyo and Sagamihara in Kanagawa with central Tokyo at Shinjuku Station.",19.48,Keio Corp,"¥4,109.00","¥4,161.00","Nov 24, 5:45:16 PM GMT+9 · JPY · TYO ·","¥4,034.00 - ¥5,433.00"
¥685.00 - ¥715.00,"Drecom Co., Ltd. is a Japanese software, web, and video game development and video game publishing company. Subsidiaries Drecom Media and DRE Novels publish light novels.",-,Drecom Co Ltd,¥686.00,¥704.00,"Nov 24, 5:37:05 PM GMT+9 · JPY · TYO ·",¥457.00 - ¥868.00
$77.68 - $78.17,"The Hartford Financial Services Group, Inc., usually known as The Hartford, is a United States-based investment and insurance company. The Hartford is a Fortune 500 company headquartered in its namesake city of Hartford, Connecticut. It was ranked 160th in Fortune 500 in the year of 2020. The company's earnings are divided between property-and-casualty operations, group benefits and mutual funds. The Hartford is the 13th-largest property and casualty insurance company in the United States. It sells products primarily through a network of agents and brokers, and has also been the auto and home insurance writer for AARP members for more than 25 years.",1.70M,Hartford Financial Services Group Inc,$77.75,$78.02,"Nov 24, 9:49:51 AM GMT-5 · USD · NYSE ·",$64.25 - $79.44
$59.95 - $60.22,"Molson Coors is a Canadian-American multinational drink and brewing company headquartered in Chicago, IL with main offices in Golden, Colorado, and Montreal, Quebec. Molson Coors was formed in 2005 through the merger of Molson of Canada, and Coors of the United States. In 2016, Molson Coors acquired Miller Brewing Company for approximately US$12 billion. The agreement made Molson Coors the world's third largest brewer. Molson Coors is a publicly traded company on both the New York Stock Exchange and Toronto Stock Exchange. Molson Coors has been a constituent of the S&P500 since 2005.",1.57M,Molson Coors Beverage Co Class B,$60.02,$60.16,"Nov 24, 9:47:40 AM GMT-5 · USD · NYSE ·",$48.49 - $70.90
"¥1,808.50 - ¥1,828.00","Haseko Corporation is a Japanese construction company specialized in construction of condominium units. From 1968 to 2015, the company built a total of around 580,000 condominium units, which is approximately 10% of the total number of condominium units on the market in Japan. The company is highly vertically integrated, with all of the lifecycle of condominium construction and maintenance handled by the company or its subsidiaries. On October 1, 2015, Haseko Corporation was included in the Nikkei 225 stock market index.",7.86,Haseko Corp,"¥1,808.50","¥1,819.50","Nov 24, 5:45:11 PM GMT+9 · JPY · TYO ·","¥1,427.00 - ¥1,995.50"
€0.16 - €0.16,"China Travel International Investment Hong Kong Limited is an investment holding company engaged in travel, theme park, hotel, resort, passenger transportation, golf club, power generation, freight forwarding, and other investments. It was established and listed in Hong Kong in 1992 as a subsidiary of China Travel Service. Hong Kong has been an established as the central business and financial center for China and Asia. Although technically in China, it is governed independently, and therefore it must accrue its own funds to promote travel. Hong Kong is also considered a major hub to many airlines in Asia. Many people stop in Hong Kong from Europe on their way to Australia on business class flights. There are many business class flights to and from Hong Kong – in fact, several airlines have flights with only business class seats. Hong Kong International Airport is a major connection point to the rest of the world and every other continent.",-,China Travel ntrntnl nvstmnt Hng Kng Ltd,€0.16,€0.16,"Nov 24, 1:44:24 PM GMT+1 · EUR · FRA ·",€0.15 - €0.22
€21.48 - €21.58,"Deutsche Wohnen SE is a German property company, and one of the 30 companies that compose the DAX index. Previously listed on the MDAX, it replaced Lufthansa on the DAX after Lufthansa was downgraded to the MDAX because of losses during the COVID-19 pandemic. Germany's largest real estate company for private apartments Vonovia took over Deutsche Wohnen, the second largest German company in 2021. Vonovia acquired additional shares and now holds 87.6 percent of Deutsche Wohnen. This created a European real estate giant with around 568,000 apartments.",-,Deutsche Wohnen SE,€21.52,€21.48,"Nov 24, 2:15:24 PM GMT+1 · EUR · FRA ·",€16.70 - €24.00
$3.33 - $3.46,"Calix Limited is an Australian technology company whose core technology is a ""kiln"" built in Bacchus Marsh that produces ""mineral honeycomb"". Calix's technology includes work on CO₂ capture to address global sustainability challenges across several industries including wastewater treatment, aquaculture, advanced energy storage and cement / lime production.",299.15K,Calix Ltd,$3.33,$3.37,"Nov 24, 7:00:00 PM GMT+11 · AUD · ASX ·",$2.41 - $6.05
€5.00 - €5.11,"Bpost, also known as the Belgian Post Group, is the Belgian company responsible for the delivery of national and international mail. The Belgian Post Group is one of the largest civilian employers in Belgium. It provides a range of postal, courier, direct marketing, banking, insurance, and electronic services in a highly competitive European market. The headquarters are located in Brussels at the Muntcenter. Before 2010, it was known as De Post in Dutch and La Poste in French, meaning ""the Post"" in each case in English.",184.34K,Bpost SA,€5.01,€5.08,"Nov 24, 3:10:38 PM GMT+1 · EUR · EBR ·",€3.85 - €5.76
₹829.50 - ₹844.95,"Garden Reach Shipbuilders & Engineers Ltd, abbreviated as GRSE, is one of India's leading shipyards, located in Kolkata. It builds and repairs commercial and naval vessels. GRSE also builds export ships. Founded in 1884 as a small privately-owned company on the eastern bank of the Hooghly River, it was renamed as Garden Reach Workshop in 1916. The company was nationalised by the Government of India in 1960. It was awarded the Miniratna status, with accompanying financial and operational autonomy in September 2006. It is first Indian shipyard to build 100 warships.",34.50,Garden Reach Shipbuilders & Enginers Ltd,₹833.80,₹833.00,"Nov 24, 3:59:58 PM GMT+5:30 · INR · NSE ·",₹392.50 - ₹974.80
₹66.80 - ₹68.85,"Balaji Telefilms is an Indian company that produces Indian soap operas, reality TV, comedy, game shows, entertainment, and factual programming in several Indian languages. Balaji Telefilms is promoted by Ekta Kapoor and Shobha Kapoor and is a public company listed at Bombay Stock Exchange and National Stock Exchange of India. In the 2000s the company went on to produce some historic blockbusters which include, Kyunki Saas Bhi Kabhi Bahu Thi, Kahaani Ghar Ghar Kii, Kaahin Kissii Roz, Kasautii Zindagii Kay, Kahiin to Hoga, Kkusum and Kasamh Se amongst several others. In the 2010s the company went on to produce several hugely successful drama series which includes Pavitra Rishta, Tere Liye, Pyaar Kii Ye Ek Kahaani, Bade Achhe Lagte Hain, Jodha Akbar, Yeh Hai Mohabbatein, Kumkum Bhagya, Meri Aashiqui Tum Se Hi, Kasam Tere Pyaar Ki, Kundali Bhagya, Yeh Hai Chahatein and Bhagya Lakshmi. Since 2015, the company introduced several seasonal format weekend drama thriller series which went out to be highly rated series amongst which includes Naagin, Kavach, Brahmarakshas, Haiwaan: The Monster, Daayan and Qayamat Ki Raat amongst several others.",24.26,Balaji Telefilms Ltd,₹68.15,₹67.00,"Nov 24, 3:58:03 PM GMT+5:30 · INR · NSE ·",₹35.00 - ₹80.10
€141.20 - €141.98,"SAP SE is a German multinational software company based in Walldorf, Baden-Württemberg. It develops enterprise software to manage business operations and customer relations. The company is the world's leading enterprise resource planning software vendor. SAP is the largest non-American software company by revenue and the world's third-largest publicly traded software company by revenue. Apart from ERP software, the company also sells database software and technology, cloud-engineered systems, and other ERP software products, such as human capital management software, customer relationship management software, enterprise performance management software, product lifecycle management software, supplier relationship management software, supply chain management software, business technology platform software and programming environment SAP AppGyver for business. Historical references include Systems, Applications, and Products in Data Processing, SAP AG and SAP SE.",30.97,SAP SE,€141.82,€141.42,"Nov 24, 3:24:28 PM GMT+1 · EUR · FRA ·",€95.60 - €142.00
$27.00 - $27.27,"Paramount Resources Ltd. is a Canadian petroleum company, founded in 1976. The company is involved in the exploration, development, production, processing, transportation and marketing of natural gas and its byproducts and crude oil. The company was founded by Clay Riddell. In addition to its own name, Paramount has several subsidiaries with names resembling those of Hollywood companies, including Fox Drilling, Summit Resources, and Pixar Petroleum. It also retains significant investment in MGM Energy, which it spun off in 2007. In 2017, Paramount acquired Apache Canada Ltd. for C$459.5 million and merged with Trilogy Energy Corp which itself was originally spun-off from Paramount. Paramount reported an output of 85,941 barrels of oil equivalent per day in its 2018 annual report, published in March 2019.",6.45,Paramount Resources Ltd,$27.00,$27.00,"Nov 24, 9:35:06 AM GMT-5 · CAD · TSE ·",$25.05 - $33.80
$274.75 - $277.00,"Morningstar, Inc. is an American financial services firm headquartered in Chicago, Illinois, and was founded by Joe Mansueto in 1984. It provides an array of investment research and investment management services. With operations in 29 countries, Morningstar's research and recommendations are considered by financial journalists as influential in the asset management industry, and a positive or negative recommendation from Morningstar analysts can drive money into or away from any given fund. Through its asset management division, the firm currently manages over US$295 billion as of March 31, 2023. The firm also provides software and data platforms for investment professionals, including ""Morningstar Research Portal"", ""Morningstar Direct"" and ""Morningstar Advisor Workstation"".",173.47K,Morningstar Inc,$276.45,$274.75,"Nov 24, 9:49:38 AM GMT-5 · USD · NASDAQ ·",$163.28 - $277.00
"₩6,960.00 - ₩7,140.00",KeyEast is a management agency founded by actor Bae Yong-joon.,40.48K,"KEYEAST Co., Ltd.","₩7,030.00","₩7,050.00","Nov 24, 6:31:12 PM GMT+9 · KRW · KOSDAQ ·","₩6,020.00 - ₩11,980.00"
$19.13 - $19.25,"Manulife Financial Corporation is a Canadian multinational insurance company and financial services provider headquartered in Toronto, Ontario. The company operates in Canada and Asia as ""Manulife"" and in the United States primarily through its John Hancock Financial division. As of December 2021, the company employed approximately 38,000 people and had 119,000 agents under contract, and has CA$1.4 trillion in assets under management and administration. Manulife at one point serviced over 26 million customers worldwide. Manulife is the largest insurance company in Canada and the 28th largest fund manager in the world based on worldwide institutional assets under management. Manulife Bank of Canada is a wholly owned subsidiary of Manulife.",3.18M,Manulife Financial Corp,$19.05,$19.24,"Nov 24, 9:50:02 AM GMT-5 · USD · NYSE ·",$17.07 - $20.40
€0.029 - €0.035,"Finnair is the flag carrier and largest full-service legacy airline of Finland, with headquarters in Vantaa on the grounds of Helsinki Airport, its hub. Finnair and its subsidiaries dominate both domestic and international air travel in Finland. Its major shareholder is the government of Finland, which owns 55.9% of its shares. Finnair is a member of the Oneworld airline alliance. Finnair is the sixth oldest airline in continuous operation and is consistently listed as one of the safest in the world. The company's slogans are Designed for you and The Nordic Way.",1.43,Finnair Oyj,€0.035,€0.035,"Nov 24, 2:15:52 PM GMT+1 · EUR · FRA ·",€0.029 - €0.10
$83.49 - $84.21,Wintrust is a financial holding company in the United States that operates 15 chartered community banks in northern Illinois and southern Wisconsin. Wintrust is a relatively medium-sized banking institution in the United States and it trades on the Nasdaq Global Select Market with stock symbol WTFC. Wintrust is the second largest banking company in Chicago.,457.27K,Wintrust Financial Corp,$83.99,$83.78,"Nov 24, 9:50:18 AM GMT-5 · USD · NASDAQ ·",$57.48 - $95.97
"¥1,469.00 - ¥1,489.00","The Yamabiko Corporation is a Japanese manufacturer of power tools formed with the September 2008 merger of the Kioritz and Shindaiwa corporations. The brands owned and distributed by Yamabiko are Kioritz, Shindaiwa and Echo. The Yamabiko Corporation is based in Ome, Japan. Yambiko exports parts to their Lake Zurich, Illinois and assemble Echo and Shindaiwa products for sale in the USA.",8.65,YAMABIKO CORPORATION,"¥1,470.00","¥1,487.00","Nov 24, 5:45:14 PM GMT+9 · JPY · TYO ·","¥1,055.00 - ¥1,628.00"
$199.75 - $201.27,"Cencora, Inc., formerly known as AmerisourceBergen, is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.",1.44M,Cencora Inc,$199.68,$200.22,"Nov 24, 9:50:09 AM GMT-5 · USD · NYSE ·",$171.65 - $201.27
"₩154,000.00 - ₩156,700.00","Lotte Chemical Corporation is a chemical company headquartered in Seoul, South Korea. Lotte Chemical is one of the largest chemical companies in the world by revenue. Lotte Chemical manufactures synthetic resins and other chemical products used for various industrial materials.",110.37K,Lotte Chemical Corp,"₩154,700.00","₩154,600.00","Nov 24, 6:26:18 PM GMT+9 · KRW · KRX ·","₩126,300.00 - ₩194,300.00"
$10.27 - $10.27,"Advantage Energy Ltd. is a Canadian oil and gas company based in Calgary, Alberta. The company is focused on the development of its Montney fossil gas and liquids resource play to provide Canadian energy. In 2019, it produced 45,833 barrels of oil equivalent per day, with 94% of production consisting of natural gas and 6% light oil and liquids with a low emission intensity of 4 kg CO2e/boe. It is listed on the Toronto Stock Exchange under the symbol TSX: AAV.",10.71,Advantage Energy Ltd,$10.35,$10.27,"Nov 24, 9:30:00 AM GMT-5 · CAD · TSE ·",$6.79 - $11.92
$67.73 - $68.00,"Fortive Corporation is an American industrial technology conglomerate company headquartered in Everett, Washington. The company specialises in providing essential technologies for connected workflow solutions; designing, developing, manufacturing and distributing professional and engineered products, software and services. Their products and services are split into three strategic segments; Intelligent Operating Solutions, Precision Technologies, and Advanced Healthcare Solutions. As of December 2022, Fortive has over 18,000 employees in 60 countries worldwide. Fortive was spun off from Danaher in July 2016. Brothers Steven and Mitchell Rales, Danaher's founders, retained board seats with Fortive after the separation. At the point of its independent incorporation, Fortive immediately became a component of the S&P 500. Later the transportation, automation and franchise distribution businesses would be spun off. In 2018 and 2019, Fortune named Fortive as a Future 50 company. In 2020, Fortune named Fortive one of the world's most admired companies.",2.47M,Fortive Corp,$67.83,$67.82,"Nov 24, 9:49:51 AM GMT-5 · USD · NYSE ·",$62.70 - $79.90
$3.79 - $3.88,"Chang'an Automobile Co., Ltd. is a Chinese state-owned automobile manufacturer headquartered in Jiangbei, Chongqing. Founded in 1862, it is China's oldest automobile maker. It is currently the smallest of the ""Big Four"" state-owned car manufacturers of China, namely: SAIC Motor, FAW Group, Dongfeng Motor Corporation, and Changan Automobile, with car sales of 5.37 million, 3.50 million, 3.28 million and 2.30 million in 2021 respectively. The company produces and sells vehicles under its own branding, such as Changan, Oshan, Kaicene, as well as under foreign-branded joint ventures such as Changan-Ford and Changan-Mazda. In 2021, domestic branded cars took over 76% of sales. Its principal activity is the production of passenger cars, microvans, commercial vans and light trucks. It is China's second most popular car brand, with 1.4 million Changan cars sold in 2016. A subsidiary of Changan, Chongqing Changan Automobile Company, is listed on the Shenzhen Stock Exchange.",4.00M,Chongqing Changan Automobile Ord Shs B,$3.80,$3.83,"Nov 24, 4:29:47 PM GMT+8 · HKD · SHE ·",$3.12 - $4.06
"₩53,500.00 - ₩55,700.00",Netmarble Corp. is a South Korean mobile game developer. It is South Korea's largest mobile-gaming company which was founded in 2000 by Bang Jun-hyuk.,243.59K,Netmarble Corp,"₩54,300.00","₩55,500.00","Nov 24, 6:29:06 PM GMT+9 · KRW · KRX ·","₩36,750.00 - ₩73,300.00"
€5.04 - €5.14,"Prada S.p.A. is an Italian luxury fashion house founded in 1913 in Milan by Mario Prada. It specializes in leather handbags, travel accessories, shoes, ready-to-wear, and other fashion accessories. Prada licenses its name and branding to Luxottica for eyewear and L’Oréal for fragrances and cosmetics. Founded in 1913 and named for the family of founder Mario Prada, the company originally sold imported English animal goods before transitioning to waterproof nylon fabrics in the 1970s under the leadership of Mario's granddaughter, Miuccia Prada and her husband Patrizio Bertelli. By the 1990s, Prada was perceived as a luxury brand, a designation credited to originality in its designs. To further the business, Miuccia Prada founded Miu Miu as a subsidiary of Prada around this time period; the company additionally partnered with LVMH to acquire a joint stake in Fendi; Prada further assisted LVMH in its failed takeover of Gucci. The brand struggled through the late 2000s and early to mid 2010s, which included a failed initial public offering on the Hong Kong Stock Exchange, though began a resurgence in popularity entering into the 2020s.",-,Prada S.p.A.,€5.24,€5.14,"Nov 24, 2:12:45 PM GMT+1 · EUR · FRA ·",€4.86 - €7.13
$114.01 - $114.25,"Ubiquiti Inc. is an American technology company founded in San Jose, California, in 2003. Now based in New York City, Ubiquiti manufactures and sells wireless data communication and wired products for enterprises and homes under multiple brand names. On October 13, 2011, Ubiquiti had its initial public offering at 7.04 million shares, at $15 per share, raising $30.5 million.",107.97K,Ubiquiti Inc,$115.01,$114.01,"Nov 24, 9:46:48 AM GMT-5 · USD · NYSE ·",$103.00 - $304.75
$0.20 - $1.05,"Learning Tree International, Inc., founded in 1974, is an IT training company based in Herndon, Virginia, United States. They offer training for business and technology skills. In 2010, the company had a revenue of $127.47 million.",-,Learning Tree International Inc,$0.20,$0.20,"Nov 22, 8:10:00 PM GMT-5 · USD · OTCMKTS ·",2.64M USD
$0.00010 - $0.00010,"GEROVA Financial Group, Ltd is an international reinsurance company with operating insurance subsidiaries in Bermuda, Barbados, and Ireland.",-,Gerova Financial Group Ltd,$0.00,$0.00010,"Nov 14, 8:10:00 PM GMT-5 · USD · OTCMKTS ·",2.79K USD
$1.37 - $1.40,"The Inner Mongolia Yitai Coal Company is an Ordos City-based coal company founded in 1997. The company works in the mining, production, transport, and sale of coal and coal-based products in Inner Mongolia and China. It is a subsidiary of Inner Mongolia Yitai Group Co., Ltd. It has the seventh largest reserve of coal in the world measured by potential carbon emissions.",1.24M,Inner Mongolia Yitai Coal Ord Shs B,$1.38,$1.40,"Nov 24, 3:59:53 PM GMT+8 · USD · SHA ·",$1.28 - $1.55
€93.00 - €93.70,"Merck & Co., Inc. is an American multinational pharmaceutical company headquartered in Rahway, New Jersey, and is named for Merck Group, founded in Germany in 1668, of whom it was once the American arm. The company does business as Merck Sharp & Dohme or MSD outside the United States and Canada. It is one of the largest pharmaceutical companies in the world, generally ranking in the global top five by revenue. Merck & Co. was originally established as the American affiliate of Merck Group in 1891. Merck develops and produces medicines, vaccines, biologic therapies and animal health products. It has multiple blockbuster drugs or products each with 2020 revenues including cancer immunotherapy, anti-diabetic medication and vaccines against HPV and chickenpox. The company is ranked 71st on the 2022 Fortune 500 and 87th on the 2022 Forbes Global 2000, both based on 2021 revenues.",950.00,Merck & Co Inc,€93.70,€93.30,"Nov 24, 3:35:32 PM GMT+1 · EUR · ETR ·",€92.40 - €109.40
$9.76 - $9.97,"Grifols, S.A. is a Spanish multinational pharmaceutical and chemical manufacturer. Principally a producer of blood plasma-based products, a field in which it is the European leader and largest worldwide, the company also supplies devices, instruments, and reagents for clinical testing laboratories.",677.32K,Grifols SA - ADR ADR Class B,$9.66,$9.82,"Nov 24, 9:50:43 AM GMT-5 · USD · NASDAQ ·",$6.50 - $10.97
